time,low,high,open,close,volume,difficulty,sentiment_medio,google_trend,greed_and_fear
2022-08-05,22589.83,23478.58,22624.44,23320.81,26745.91293062,28174668481289.0,0.0799330444533932,27.0,31
2022-08-04,22392.88,23234.29,22824.88,22623.94,21755.96366822,27915356836850.324,0.0994714969241286,28.0,30
2022-08-03,22694.56,23650.96,22994.78,22825.0,23966.78092491,27692567959234.0,0.1005550846580558,29.0,34
2022-08-02,22659.06,23464.97,23273.85,22989.4,15013.77828925,27692567959234.0,0.0830021283252216,30.0,31
2022-08-01,22850.0,23518.89,23307.44,23273.86,12543.48560075,27692567959234.0,0.0975828832617915,31.0,33
2022-07-31,23240.01,24192.18,23648.15,23307.44,7969.64723008,27692567959234.0,0.0988190952452035,28.0,39
2022-07-30,23516.11,24666.0,23787.84,23650.13,13265.47821461,27692567959234.0,0.0772758537758537,30.0,42
2022-07-29,23429.71,24450.0,23851.66,23784.5,18431.00204878,27692567959234.0,0.0766126521151415,33.0,39
2022-07-28,22580.86,24206.11,22960.74,23851.7,25681.25351287,27692567959234.0,0.1056630827929953,34.0,32
2022-07-27,21045.73,23110.73,21260.22,22962.59,24206.7301153,27692567959234.0,0.0819801823235367,31.0,28
2022-07-26,20715.0,21344.43,21312.06,21261.57,19333.35688939,27692567959234.0,0.0431359286864934,33.0,26
2022-07-25,21254.97,22665.74,22583.37,21313.41,22277.31378773,27692567959234.0,0.1178447294836779,33.0,30
2022-07-24,22263.85,23036.46,22451.36,22583.43,9132.96152481,27692567959234.0,0.0460647187644075,28.0,30
2022-07-23,21941.01,23006.16,22688.85,22450.69,12592.30066753,27692567959234.0,0.0845220056407282,29.0,31
2022-07-22,22505.56,23763.55,23152.76,22687.68,20884.25890814,27692567959234.0,0.1083450701988437,35.0,33
2022-07-21,22340.07,23434.65,23225.24,23153.96,24113.43095206,28827135813162.805,0.0494575934113167,45.0,34
2022-07-20,22899.0,24287.13,23398.46,23226.99,34094.81155381,29152798808272.0,0.0730796519286883,42.0,31
2022-07-19,21578.57,23800.0,22434.97,23395.06,34808.90125305,29152798808272.0,0.0897781280716063,36.0,30
2022-07-18,20755.95,22777.0,20791.74,22427.56,31445.5132866,29152798808272.0,0.0687001102122924,41.0,20
2022-07-17,20750.1,21667.1,21189.23,20791.74,11450.67396279,29152798808272.0,0.1425742463529439,30.0,24
2022-07-16,20475.94,21582.71,20823.06,21189.68,12479.60342503,29152798808272.0,0.0644017301855628,30.0,21
2022-07-15,20368.67,21196.37,20574.96,20827.55,17731.34162095,29152798808272.0,0.0692235186768095,33.0,15
2022-07-14,19607.14,20893.73,20219.69,20577.02,24371.50910244,29152798808272.0,0.102729566612478,37.0,18
2022-07-13,18892.0,20330.71,19304.71,20220.23,28211.91563971,29152798808272.0,0.0534751255807956,38.0,15
2022-07-12,19226.47,20037.46,19942.44,19303.65,21631.52226271,29152798808272.0,0.109139088622031,38.0,16
2022-07-11,19860.12,20854.32,20850.65,19942.43,16061.45339697,29152798808272.0,0.1634420473434844,36.0,22
2022-07-10,20636.53,21595.75,21582.23,20850.65,9610.90399408,29152798808272.0,0.1466926863477694,33.0,24
2022-07-09,21311.04,21959.3,21582.28,21583.99,9424.31410235,29152798808272.0,0.1144210068282232,31.0,24
2022-07-08,21172.0,22490.54,21618.04,21582.2,25311.00378887,29152798808272.0,0.0941081522287886,40.0,20
2022-07-07,20224.8,21855.72,20542.66,21614.6,25211.332802,29155457214820.32,0.0769417067431323,40.0,18
2022-07-06,19743.0,20650.0,20153.74,20542.67,18489.12900774,29570168636358.0,0.0849480894170285,39.0,18
2022-07-05,19274.95,20734.89,20212.42,20153.51,21938.40185419,29570168636358.0,0.0897164919875446,42.0,19
2022-07-04,19029.33,20331.76,19291.35,20211.35,14462.57230204,29570168636358.0,0.1078827415380837,42.0,14
